,Moive Name,Rating,Votes,Meta Score,Genre,PG Rating,Year,Duration,Cast,Director
0, Argylle,6.0,23000.0,35,"Action, Thriller",NA,NA,NA,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",Matthew Vaughn
1, The Beekeeper,6.4,51000.0,54,"Action, Thriller",NA,NA,NA,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",David Ayer
2, A Quiet Place: Day One,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Miller's Girl,5.3,2400.0,41,"Comedy, Drama",NA,NA,NA,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",Jade Halley Bartlett
4, Orion and the Dark,6.4,7400.0,72,"Animation, Adventure, Comedy",NA,NA,NA,"Jacob Tremblay, Paul Walter Hauser, Colin Hanks, Mia Akemi Brown",Sean Charmatz
5, Madame Web,3.8,13000.0,27,"Action, Adventure, Sci-Fi",NA,NA,NA,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",S.J. Clarkson
6, Dune: Part Two,NA,NA,NA,NA,NA,NA,NA,NA,NA
7, The Ministry of Ungentlemanly Warfare,NA,NA,NA,NA,NA,NA,NA,NA,NA
8, Lisa Frankenstein,6.6,2800.0,47,"Comedy, Horror, Romance",NA,NA,NA,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue",Zelda Williams
9, Aquaman and the Lost Kingdom,5.7,56000.0,42,"Action, Adventure, Fantasy",NA,NA,NA,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard",James Wan
10, Upgraded,6.1,6800.0,59,"Comedy, Romance",NA,NA,NA,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin",Carlson Young
11, IF,NA,NA,NA,NA,NA,NA,NA,NA,NA
12, Mean Girls,6.2,14000.0,58,"Comedy, Musical",NA,NA,NA,"Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey",Samantha JayneArturo Perez Jr.
13, Love Lies Bleeding,NA,NA,76,"Action, Adventure, Crime",NA,NA,NA,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",Rose Glass
14, Bob Marley: One Love,6.6,3800.0,43,"Biography, Drama, Music",NA,NA,NA,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole",Reinaldo Marcus Green
15, Deadpool & Wolverine,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Lift,5.5,32000.0,40,"Action, Comedy, Crime",NA,NA,NA,"Kevin Hart, Gugu Mbatha-Raw, Sam Worthington, Vincent D'Onofrio",F. Gary Gray
17, Road House,NA,NA,NA,NA,NA,NA,NA,NA,NA
18, Drive-Away Dolls,NA,NA,NA,NA,NA,NA,NA,NA,NA
19, Longlegs,NA,NA,NA,NA,NA,NA,NA,NA,NA
20, Suncoast,6.6,2300.0,61,Drama,NA,NA,NA,"Nico Parker, Laura Linney, Woody Harrelson, Daniella Taylor",Laura Chinn
21, Megalopolis,NA,NA,NA,NA,NA,NA,NA,NA,NA
22, The Tiger's Apprentice,5.6,853.0,55,"Animation, Action, Adventure",NA,NA,NA,"Henry Golding, Brandon Soo Hoo, Lucy Liu, Sandra Oh",Raman HuiYong Duk JhunPaul Watling
23, Beetlejuice 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
24, Ghostbusters: Frozen Empire,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Night Swim,4.7,11000.0,43,"Horror, Thriller",NA,NA,NA,"Wyatt Russell, Kerry Condon, Amélie Hoeferle, Gavin Warren",Bryce McGuire
26, Sonic the Hedgehog 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Joker: Folie à Deux,NA,NA,NA,NA,NA,NA,NA,NA,NA
28, The Greatest Night in Pop,8.0,7400.0,69,"Documentary, Music",NA,NA,NA,"Lionel Richie, Harriet Sternberg, Wendy Rees, Harry Belafonte",Bao Nguyen
29, The Underdoggs,5.5,2900.0,39,"Comedy, Sport",NA,NA,NA,"Snoop Dogg, Tika Sumpter, Mike Epps, Elias Ferguson",Charles Stone III
30, The Last Girl,4.5,670.0,NA,NA,NA,NA,NA,NA,NA
31, Bosco,4.6,609.0,NA,NA,NA,NA,NA,NA,NA
32, Despicable Me 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
33, Gladiator 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
34, BC Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
35, Winnie-the-Pooh: Blood and Honey 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
36, Back to Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
37, Imaginary,NA,NA,NA,NA,NA,NA,NA,NA,NA
38, Godzilla x Kong: The New Empire,NA,NA,NA,NA,NA,NA,NA,NA,NA
39, Code 8: Part II,NA,NA,NA,NA,NA,NA,NA,NA,NA
40, Twisters,NA,NA,NA,NA,NA,NA,NA,NA,NA
41, Alien: Romulus,NA,NA,NA,NA,NA,NA,NA,NA,NA
42, The Lord of the Rings: The War of the Rohirrim,NA,NA,NA,NA,NA,NA,NA,NA,NA
43, Lola James,5.2,84.0,NA,NA,NA,NA,NA,NA,NA
44, Furiosa: A Mad Max Saga,NA,NA,NA,NA,NA,NA,NA,NA,NA
45, They Called Him Mostly Harmless,5.9,894.0,NA,NA,NA,NA,NA,NA,NA
46, Baghead,5.4,900.0,NA,NA,NA,NA,NA,NA,NA
47, Moana,NA,NA,NA,NA,NA,NA,NA,NA,NA
48, Kingdom of the Planet of the Apes,NA,NA,NA,NA,NA,NA,NA,NA,NA
49, No Way Up,4.6,727.0,NA,NA,NA,NA,NA,NA,NA
50, Monkey Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
51, Civil War,NA,NA,NA,NA,NA,NA,NA,NA,NA
52, Inside Out 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
53, Wicked,NA,NA,NA,NA,NA,NA,NA,NA,NA
54, Force of Nature: The Dry 2,6.6,396.0,NA,NA,NA,NA,NA,NA,NA
55, The Fantastic Four,NA,NA,NA,NA,NA,NA,NA,NA,NA
56, Calamity Jane,4.1,365.0,NA,NA,NA,NA,NA,NA,NA
57," Lover, Stalker, Killer",7.0,4300.0,NA,NA,NA,NA,NA,NA,NA
58, Nosferatu,NA,NA,NA,NA,NA,NA,NA,NA,NA
59, Land of Bad,6.5,1400.0,57,"Action, Thriller",NA,NA,NA,"Liam Hemsworth, Luke Hemsworth, Ricky Whittle, Chika Ikogwe",William Eubank
60, The Fall Guy,NA,NA,NA,NA,NA,NA,NA,NA,NA
61, Good Grief,6.4,8700.0,59,"Comedy, Drama, Romance",NA,NA,NA,"Dan Levy, Ruth Negga, Himesh Patel, Luke Evans",Dan Levy
62, Abigail,NA,NA,NA,NA,NA,NA,NA,NA,NA
63, Kraven the Hunter,NA,NA,NA,NA,NA,NA,NA,NA,NA
64, The Movie Critic,NA,NA,NA,NA,NA,NA,NA,NA,NA
65, Borderlands,NA,NA,NA,NA,NA,NA,NA,NA,NA
66, Spider-Man: Beyond the Spider-Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA
67, Justice League: Crisis on Infinite Earths - Part One,6.3,3000.0,NA,NA,NA,NA,NA,NA,NA
68, American Star,5.3,863.0,68,Thriller,NA,NA,NA,"Ian McShane, Nora Arnezeder, Oscar Coleman, Pedro Alberto Galindo",Gonzalo López-Gallego
69, Mortal Kombat 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
70, Ordinary Angels,NA,NA,NA,NA,NA,NA,NA,NA,NA
71, Superman: Legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA
72, This Is Me... Now,5.3,1200.0,63,"Music, Musical",NA,NA,NA,"Jennifer Lopez, Fat Joe, Jane Fonda, Ben Affleck",Dave Meyers
73, Challengers,NA,NA,NA,NA,NA,NA,NA,NA,NA
74, How to Train Your Dragon,NA,NA,NA,NA,NA,NA,NA,NA,NA
75, Unfrosted: The Pop-Tart Story,NA,NA,NA,NA,NA,NA,NA,NA,NA
76, Transformers One,NA,NA,NA,NA,NA,NA,NA,NA,NA
77, Beautiful Wedding,4.0,382.0,NA,NA,NA,NA,NA,NA,NA
78, Skeletons in the Closet,3.3,228.0,NA,NA,NA,NA,NA,NA,NA
79, Bad Boys 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
80, Immaculate,NA,NA,NA,NA,NA,NA,NA,NA,NA
81, Constantine 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
82, Mission: Impossible - Dead Reckoning Part Two,NA,NA,NA,NA,NA,NA,NA,NA,NA
83, Snatched a Billionaire to be My Husband,8.6,191.0,NA,NA,NA,NA,NA,NA,NA
84, Damsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
85, Cabrini,NA,NA,NA,NA,NA,NA,NA,NA,NA
86, The Thundermans Return,NA,NA,NA,NA,NA,NA,NA,NA,NA
87, Players,5.6,2700.0,51,"Comedy, Romance",NA,NA,NA,"Gina Rodriguez, Damon Wayans Jr., Tom Ellis, Augustus Prew",Trish Sie
88, The Private Eye,7.5,64.0,NA,NA,NA,NA,NA,NA,NA
89, Mufasa: The Lion King,NA,NA,NA,NA,NA,NA,NA,NA,NA
90, Beverly Hills Cop: Axel F,NA,NA,NA,NA,NA,NA,NA,NA,NA
91, The Batman Part II,NA,NA,NA,NA,NA,NA,NA,NA,NA
92, Kinds of Kindness,NA,NA,NA,NA,NA,NA,NA,NA,NA
93, MaXXXine,NA,NA,NA,NA,NA,NA,NA,NA,NA
94, Wanted Man,4.7,526.0,NA,NA,NA,NA,NA,NA,NA
95, Captain America: Brave New World,NA,NA,NA,NA,NA,NA,NA,NA,NA
96, Tarot,NA,NA,NA,NA,NA,NA,NA,NA,NA
97, The Garfield Movie,NA,NA,NA,NA,NA,NA,NA,NA,NA
98, Megamind vs. The Doom Syndicate,NA,NA,NA,NA,NA,NA,NA,NA,NA
99, Irish Wish,NA,NA,NA,NA,NA,NA,NA,NA,NA
100, Ricky Stanicky,NA,NA,NA,NA,NA,NA,NA,NA,NA
101, A Different Man,7.5,155.0,73,Thriller,NA,NA,NA,"Sebastian Stan, Miles G. Jackson, Patrick Wang, Neal Davidson",Aaron Schimberg
102, One More Shot,5.5,1500.0,NA,NA,NA,NA,NA,NA,NA
103, Ballerina,NA,NA,NA,NA,NA,NA,NA,NA,NA
104, Spaceman,NA,NA,NA,NA,NA,NA,NA,NA,NA
105, Ponyboi,6.6,137.0,NA,NA,NA,NA,NA,NA,NA
106, The Painter,4.6,760.0,NA,NA,NA,NA,NA,NA,NA
107, Snow White,NA,NA,NA,NA,NA,NA,NA,NA,NA
108, Sasquatch Sunset,6.8,55.0,71,"Action, Adventure, Comedy",NA,NA,NA,"Jesse Eisenberg, Riley Keough, Christophe Zajac-Denek, Nathan Zellner",David ZellnerNathan Zellner
109, Cuckoo,6.3,80.0,NA,NA,NA,NA,NA,NA,NA
110, Jurassic World 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
111, Venom 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
112, SNL 1975,NA,NA,NA,NA,NA,NA,NA,NA,NA
113, The Conjuring: Last Rites,NA,NA,NA,NA,NA,NA,NA,NA,NA
114, Wolfs,NA,NA,NA,NA,NA,NA,NA,NA,NA
115, Red One,NA,NA,NA,NA,NA,NA,NA,NA,NA
116, Minecraft,NA,NA,NA,NA,NA,NA,NA,NA,NA
117, The Watchers,NA,NA,NA,NA,NA,NA,NA,NA,NA
118, Coyote vs. Acme,NA,NA,NA,NA,NA,NA,NA,NA,NA
119, The Union,NA,NA,NA,NA,NA,NA,NA,NA,NA
120, Moana 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
121, Arthur the King,NA,NA,NA,NA,NA,NA,NA,NA,NA
122, The First Omen,NA,NA,NA,NA,NA,NA,NA,NA,NA
123, Fast X: Part 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
124, Race for Glory: Audi vs. Lancia,5.8,1600.0,51,"Biography, Drama, Sport",NA,NA,NA,"Haley Bennett, Daniel Brühl, Riccardo Scamarcio, Volker Bruch",Stefano Mordini
125, Peter Five Eight,NA,NA,NA,NA,NA,NA,NA,NA,NA
126, Michael,NA,NA,NA,NA,NA,NA,NA,NA,NA
127, A Real Pain,7.4,215.0,84,"Comedy, Drama",NA,NA,NA,"Kieran Culkin, Jesse Eisenberg, Olha Bosova, Banner Eisenberg",Jesse Eisenberg
128, Horizon: An American Saga,NA,NA,NA,NA,NA,NA,NA,NA,NA
129, Mothers' Instinct,7.5,76.0,NA,NA,NA,NA,NA,NA,NA
130, The Idea of You,NA,NA,NA,NA,NA,NA,NA,NA,NA
131, Blade,NA,NA,NA,NA,NA,NA,NA,NA,NA
132, Avatar 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
133, Terrifier 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
134, Rebel Moon - Part Two: The Scargiver,NA,NA,NA,NA,NA,NA,NA,NA,NA
135, The American Society of Magical Negroes,NA,NA,54,"Comedy, Fantasy",NA,NA,NA,"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy",Kobi Libii
136, The Old Guard 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
137, Love Me,6.0,197.0,54,"Drama, Sci-Fi",NA,NA,NA,"Kristen Stewart, Steven Yeun",Sam & Andy Zuchero
138, Frankenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA
139, The Strangers: Chapter 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140, Smile 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
141, Peter Pan's Neverland Nightmare,NA,NA,NA,NA,NA,NA,NA,NA,NA
142, Lethal Weapon 5,NA,NA,NA,NA,NA,NA,NA,NA,NA
143, Havoc,NA,NA,NA,NA,NA,NA,NA,NA,NA
144, The Outrun,8.7,69.0,70,Drama,NA,NA,NA,"Saoirse Ronan, Saskia Reeves, Stephen Dillane, Nabil Elouahabi",Nora Fingscheidt
145, 28 Years Later,NA,NA,NA,NA,NA,NA,NA,NA,NA
146, Avengers: The Kang Dynasty,NA,NA,NA,NA,NA,NA,NA,NA,NA
147, Sunrise,3.7,449.0,NA,NA,NA,NA,NA,NA,NA
148, Freaky Tales,7.4,116.0,58,"Adventure, Comedy, Drama",NA,NA,NA,"Pedro Pascal, Tom Hanks, Ben Mendelsohn, Ji-young Yoo",Anna BodenRyan Fleck
149, The Vampire Next Door,4.5,282.0,NA,NA,NA,NA,NA,NA,NA
150, Sherlock Holmes 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
151, In a Violent Nature,7.8,37.0,NA,NA,NA,NA,NA,NA,NA
152, Air Force One Down,4.3,568.0,NA,NA,NA,NA,NA,NA,NA
153, Destroy All Neighbors,5.3,1000.0,53,"Comedy, Horror",NA,NA,NA,"Jonah Ray, Kiran Deol, Randee Heller, Pete Ploszek",Josh Forbes
154, Tell No Lies,5.2,118.0,NA,NA,NA,NA,NA,NA,NA
155, The Last Front,5.8,121.0,NA,NA,NA,NA,NA,NA,NA
156, Tron 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
157, Karate Kid,NA,NA,NA,NA,NA,NA,NA,NA,NA
158, The Electric State,NA,NA,NA,NA,NA,NA,NA,NA,NA
159, Avengers: Secret Wars,NA,NA,NA,NA,NA,NA,NA,NA,NA
160, Back in Action,NA,NA,NA,NA,NA,NA,NA,NA,NA
161, Juror #2,NA,NA,NA,NA,NA,NA,NA,NA,NA
162, Saw XI,NA,NA,NA,NA,NA,NA,NA,NA,NA
163, Someone Like You,NA,NA,NA,NA,NA,NA,NA,NA,NA
164, Y2K,NA,NA,NA,NA,NA,NA,NA,NA,NA
165, Project Hail Mary,NA,NA,NA,NA,NA,NA,NA,NA,NA
166, Bitconned,6.5,2400.0,NA,NA,NA,NA,NA,NA,NA
167, Autumn and the Black Jaguar,6.4,105.0,NA,NA,NA,NA,NA,NA,NA
168, Klara and the Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA
169, Batgirl,NA,NA,NA,NA,NA,NA,NA,NA,NA
170, Untitled Guy Ritchie's Action Movie,NA,NA,NA,NA,NA,NA,NA,NA,NA
171, Kingsman: The Blue Blood,NA,NA,NA,NA,NA,NA,NA,NA,NA
172, Mickey 17,NA,NA,NA,NA,NA,NA,NA,NA,NA
173, Love... Reconsidered,7.5,24.0,NA,NA,NA,NA,NA,NA,NA
174, Small Things Like These,7.2,124.0,82,"Drama, History",NA,NA,NA,"Cillian Murphy, Ciarán Hinds, Clare Dunne, Michelle Fairley",Tim Mielants
175, Drugstore June,NA,NA,NA,NA,NA,NA,NA,NA,NA
176, Sister Act 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
177, My Old Ass,6.8,155.0,78,Comedy,NA,NA,NA,"Aubrey Plaza, Maddie Ziegler, Percy Hynes White, Maria Dizzia",Megan Park
178, Peppa's Cinema Party,5.8,77.0,NA,NA,NA,NA,NA,NA,NA
179, Carry On,NA,NA,NA,NA,NA,NA,NA,NA,NA
180, Final Destination 6,NA,NA,NA,NA,NA,NA,NA,NA,NA
181, Sleeping Dogs,NA,NA,NA,NA,NA,NA,NA,NA,NA
182, John Wick: Chapter 5,NA,NA,NA,NA,NA,NA,NA,NA,NA
183, Elio,NA,NA,NA,NA,NA,NA,NA,NA,NA
184, Before Dawn,NA,NA,NA,NA,NA,NA,NA,NA,NA
185, Adam the First,8.0,8.0,NA,NA,NA,NA,NA,NA,NA
186, Ella McCay,NA,NA,NA,NA,NA,NA,NA,NA,NA
187, Toy Story 5,NA,NA,NA,NA,NA,NA,NA,NA,NA
188, It's What's Inside,8.5,66.0,59,"Comedy, Horror, Mystery",NA,NA,NA,"Alycia Debnam-Carey, Madison Davenport, Brittany O'Grady, Gavin Leatherwood",Greg Jardin
189, Kung Fury 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
190, Turtles All the Way Down,NA,NA,NA,NA,NA,NA,NA,NA,NA
191, Six Triple Eight,NA,NA,NA,NA,NA,NA,NA,NA,NA
192, Altered Reality,6.2,9.0,NA,NA,NA,NA,NA,NA,NA
193, The Crow,NA,NA,NA,NA,NA,NA,NA,NA,NA
194, Frozen III,NA,NA,NA,NA,NA,NA,NA,NA,NA
195, Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA
196, Cinderella's Curse,NA,NA,NA,NA,NA,NA,NA,NA,NA
197, Descendants: The Rise of Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
198, Little Death,5.5,146.0,57,"Comedy, Drama",NA,NA,NA,"David Schwimmer, Gaby Hoffmann, Talia Ryder, Dominic Fike",Jack Begert
199, A Family Affair,NA,NA,NA,NA,NA,NA,NA,NA,NA
200, Winner,7.7,38.0,NA,NA,NA,NA,NA,NA,NA
201, Mad Max: The Wasteland,NA,NA,NA,NA,NA,NA,NA,NA,NA
202, A Hip Hop Story,NA,NA,NA,NA,NA,NA,NA,NA,NA
203, Unsung Hero,NA,NA,NA,NA,NA,NA,NA,NA,NA
204, Wise Guys,NA,NA,NA,NA,NA,NA,NA,NA,NA
205, The Instigators,NA,NA,NA,NA,NA,NA,NA,NA,NA
206, I Saw the TV Glow,7.0,47.0,89,"Drama, Horror",NA,NA,NA,"Justice Smith, Brigette Lundy-Paine, Ian Foreman, Helena Howard",Jane Schoenbrun
207, Presence,6.4,64.0,80,"Horror, Thriller",NA,NA,NA,"Lucy Liu, Chris Sullivan, Julia Fox, Callina Liang",Steven Soderbergh
208, Dreams of Darkness,7.0,28.0,NA,NA,NA,NA,NA,NA,NA
209, Untitled Pirates of the Caribbean Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
210, Scoop,NA,NA,NA,NA,NA,NA,NA,NA,NA
211, Levon's Trade,NA,NA,NA,NA,NA,NA,NA,NA,NA
212, Five Nights at Freddy's 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
213, A Complete Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
214, Knives Out 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
215, The Life of Chuck,NA,NA,NA,NA,NA,NA,NA,NA,NA
216, Mindwash,4.1,64.0,NA,NA,NA,NA,NA,NA,NA
217, Hellhound,4.3,243.0,NA,NA,NA,NA,NA,NA,NA
218, Will & Harper,8.5,69.0,75,Documentary,NA,NA,NA,"Will Ferrell, Harper Steele",Josh Greenbaum
219, Star Wars: New Jedi Order,NA,NA,NA,NA,NA,NA,NA,NA,NA
220, Now You See Me 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
221, Armored,NA,NA,NA,NA,NA,NA,NA,NA,NA
222, Speak No Evil,NA,NA,NA,NA,NA,NA,NA,NA,NA
223, Lilo & Stitch,NA,NA,NA,NA,NA,NA,NA,NA,NA
224, Roosevelt,NA,NA,NA,NA,NA,NA,NA,NA,NA
225, Thelma,7.4,146.0,76,"Action, Comedy",NA,NA,NA,"June Squibb, Fred Hechinger, Parker Posey, Clark Gregg",Josh Margolin
226, Rust,NA,NA,NA,NA,NA,NA,NA,NA,NA
227, Untitled Spider-Man Sequel,NA,NA,NA,NA,NA,NA,NA,NA,NA
228, Salem's Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA
229, Not Another Church Movie,NA,NA,NA,NA,NA,NA,NA,NA,NA
230, Open Wide,5.8,318.0,NA,NA,NA,NA,NA,NA,NA
231, The Windigo,5.5,393.0,NA,NA,NA,NA,NA,NA,NA
232, Django/Zorro,NA,NA,NA,NA,NA,NA,NA,NA,NA
233, Paddington in Peru,NA,NA,NA,NA,NA,NA,NA,NA,NA
234, Seize Them!,NA,NA,NA,NA,NA,NA,NA,NA,NA
235, Untitled Maggie Gyllenhaal Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
236, In the Summers,7.6,102.0,83,Drama,NA,NA,NA,"Residente, Sasha Calle, Lio Mehiel, Dreya Castillo",Alessandra Lacorazza Samudio
